Gene,RSP_Area,RMSD,Deviation_Score
Eef1b2,0.9331909174613024,0.5450173343342892,2.906203527077154
Eef1d,1.794671968768404,0.7558186489601261,2.233996722324753
Eef1g,0.9625557882006,0.5535259916098628,2.8573678825870394
Eef2,1.4698505684056757,0.684008747850779,2.4430189797515185
Eif1,0.5071540638628073,0.401786202284022,3.918427899252519
Eif1ax,1.913354966545465,0.7804100214824753,2.1844886112094786
Eif2s1,1.8950739619187797,0.7766728893995412,2.185526529325435
Eif2s2,1.230388933180631,0.625815437075918,2.617365504332673
Eif3e,1.820314610374242,0.7611991437507771,2.215622613799682
Eif3f,1.7309929452982866,0.7422884664352817,2.2765221603993764
Eif3g,1.727037378737093,0.7414398636848145,2.2611017910145517
Eif3h,1.6841322066711717,0.7321720638101108,2.3059485354525426
Eif3i,1.786512628363909,0.7540985554955139,2.2423507706737476
Eif3k,1.330804942009237,0.6508520335865797,2.543779270175165
Eif3m,1.745373945327581,0.7453655357510004,2.2569713620800904
Eif4a1,1.3066800113145218,0.644925705550771,2.5546322798479366
Eif4a3,1.8125693431687087,0.7595780021329342,2.226851639602721
Eif4g2,1.7940029082927746,0.7556777498061343,2.246111935790514
Eif4h,1.8367433389459675,0.764626420658302,2.221247397362864
Eif5,1.8607709627936742,0.7696114561133801,2.212468098471918
Eif5a,0.7303616552117632,0.4821631833139703,3.136113030992277
Eif5b,1.9234970524074086,0.7824756404046449,2.1684398276840975
Eln,1.8486543447071817,0.7671016582284991,2.1689858695991755
Elob,0.996202220547302,0.5631172306353724,2.918872946738665
Eloc,1.8720518714607337,0.7719408125852774,2.200112843900115
Emp3,1.709157403562639,0.7375918238417551,2.3188762632156195
Eno1,1.4242526744863855,0.6733154585428147,2.4862392842579326
Erh,1.6911593913301428,0.7336979987521749,2.2947685261592827
Erp29,1.7118306428080177,0.738168420537038,2.315530373527274
Etfb,1.867293298884219,0.7709590893423532,2.211221605182398
Fabp5,1.6447991827851742,0.7235715864152908,2.3136680086094343
Fam162a,1.9075836224095628,0.7792321385410453,2.1786308310470908
Fam96a,1.851192012623983,0.7676279820607651,2.2221343873593034
Fau,0.9407259448045286,0.5472132750773399,2.949857415062141
Fbln5,1.9516488751107546,0.7881809001157205,2.13702354268111
Fcer1g,1.5470812829728953,0.7017487207684636,2.447580796714436
Fis1,1.8497071232885252,0.7673200530986515,2.2201873253518114
Fkbp1a,1.2645997835909455,0.6344561554456541,2.642674018622107
Fkbp3,1.4772281804723266,0.6857232196693025,2.3869135392363665
Fkbp4,1.8682559139586625,0.7711577836826752,2.1819475941051025
Fn1,1.856317272883926,0.7686898853586451,2.1772589670957188
Fos,1.1061219556806257,0.5933713456328102,2.7926592508142813
Fstl1,1.377951253683237,0.662280534763572,2.434979091827474
Fth1,0.17885327942966173,0.23860169114835153,5.936991964857703
Ftl1,0.3048168969086293,0.311490339756921,4.5231820467187305
Fus,1.7847045507551804,0.7537168582581756,2.2430996534548235
Gabarap,1.3502115212064163,0.6555804112687148,2.578626462433859
Gadd45gip1,1.9492821811119878,0.7877028559106841,2.1657429630258496
Gapdh,0.5038314357261757,0.40046788505673564,3.745052295467909
Gas5,0.9941597976697961,0.562539680417989,2.799716090967427
Gdi2,1.7116674057974839,0.7381332245088967,2.3172215237666904
Glrx3,1.734525692547503,0.7430455408503951,2.266404937533311
Gm10076,1.9454801962531763,0.7869342919470261,2.1602215852455195
Gm10736,1.2316940983021412,0.6261472736056599,2.6273940799448545
Gm11361,1.9319534673347447,0.7841937823648581,2.1650138612228473
Gm15427,1.8935901089096325,0.7763687603489575,2.1864374386451355
Gm2000,1.7985399782297793,0.7566327086290404,2.240876636206211
Gmfg,1.904095503084217,0.7785193786090394,2.191073082522015
Gnas,1.0442011014838501,0.5765236627982525,2.832559508916285
Gnb2,1.914540163588511,0.78065169029866,2.1826177094172428
Gng5,1.2532044444761423,0.6315911368015082,2.638545178560248
Gpc3,1.9489646187718104,0.7876386899952857,2.142076723665753
Gpi1,1.9247057964233545,0.7827214593945921,2.1788324950378093
Gpx1,0.7971043073517923,0.503712399440155,3.122879913737416
Gpx4,1.7314960819259617,0.7423963367134381,2.290625260025063
Grn,1.8593644337730044,0.7693205322155866,2.243243073313402
Gzma,1.6182137489940993,0.717700100503934,2.3161493871700745
H19,0.6095848957100991,0.4404961960934959,3.236259570192773
H1f0,1.813694968888755,0.7598138187208057,2.236759861226031
H2afv,1.636976276125069,0.7218488291456434,2.3418791324011634
H2afz,0.9300794437317655,0.5441079689511463,2.8928864191232946
H3f3a,1.453151716075746,0.6801121652726488,2.4648523410328593
H3f3b,0.26007116697208105,0.28772073883988397,5.2379587776444625
Hat1,1.9413034412338743,0.7860891027277732,2.1670607442200107
Hba-a1,0.2278578203889633,0.2693128234490469,6.077917684927727
Hba-a2,0.5736935813286916,0.42733164939787355,3.909581144957396
Hba-x,1.3545475286808357,0.6566322179766477,2.5881730551339044
Hbb-bs,0.15461886644743267,0.221848402700468,7.130499187457611
Hbb-bt,0.5415829242722011,0.4152001914548798,3.9715818495617583
Hbb-y,0.014379470204019378,0.06765447157449844,22.194974583392597
Hes1,1.429188382709126,0.6744811275605402,2.4320343176953734
Hint1,0.8416607924136549,0.5175992185451496,3.113327111508266
Hmgb1,1.710722568988801,0.7379294723934444,2.2804189408216833
Hmgb2,1.8913396487530227,0.7759072807555458,2.1822748157157577
Hmgn1,0.9798488807454202,0.5584761281446051,2.8758311028727523
Hmgn2,1.4169855112402994,0.6715954859936003,2.440907912024235
Hn1,1.8559160677917257,0.7686068125546719,2.21093008394171
Hnrnpa2b1,1.302632459660622,0.6439260749293229,2.5470192779893543
Hnrnpab,1.936612250946517,0.7851387298948642,2.163585024217357
Hnrnpc,1.6083585045360973,0.7155112944752283,2.340353328491539
Hnrnpdl,1.867394534098351,0.770979987813613,2.204100581897903
Hnrnpk,1.3212529328934586,0.6485120435961975,2.5719889364359485
Hnrnpm,1.9235180706317219,0.7824799154836167,2.169948509789064
Hsbp1,1.7749913683054677,0.7516630231842752,2.253645806311503
Hsp90aa1,1.658487108533171,0.7265761094025028,2.3052332877635062
Hsp90ab1,0.9153484953605957,0.5397818775919911,2.9062603658421473
Hsp90b1,1.8224008618387173,0.76163522168629,2.2345535747858523
Hspa5,1.415356218609742,0.6712092645778865,2.513257192363084
Hspa8,0.28626843674611924,0.3018643296560044,4.845073267340927
Hspd1,1.8347534239316363,0.7642121129287336,2.2024680409681174
Hspe1,1.1685019858695962,0.6098735394552584,2.6098321879969717
Id1,1.93690572151112,0.7851982168617919,2.164123252270747
Id2,1.5707997123026152,0.7071075431930963,2.4092630678293285
Id3,1.178432871432662,0.6124596584110403,2.5780468947968758
Idh2,1.5964778561719788,0.7128637209825204,2.340986156033074
Idh3g,1.9259614458422898,0.7829767356827584,2.1721047989295696
Ier2,1.5557840976748651,0.7037197304733169,2.4246487362267146
Ier3,1.746113862485862,0.7455235105828748,2.3115907507149838
Ier3ip1,1.7745882919281426,0.7515776721182812,2.2555424425716724
Ifitm1,1.4328252557785632,0.6753387624652795,2.2715910538817767
Ifitm2,1.1769202152487275,0.6120664504473553,2.695172193685579
Ifitm3,1.2449865959371529,0.6295169113320945,2.6989263991561145
Igf2,1.681391335432215,0.731576027909499,2.2601580128232186
Igfbp4,1.8447698548515685,0.7662952972145207,2.2091363014536607
Igfbp5,1.9642202814930192,0.7907153307239818,2.1328941592524573
Igfbp7,1.8716020778518951,0.7718480707900894,2.2088401042453616
Impdh2,1.9562517320563833,0.7891097934873896,2.1490307720644766
Itm2a,1.7514966855506988,0.7466717556121495,2.20765498108835
Itm2b,0.9590861534224341,0.55252746930478,2.9726319226427953
Ivns1abp,1.921919707325813,0.782154743828396,2.180501011984682
Jun,1.8768863771495745,0.77293692439318,2.22159687549643
Junb,1.8464074204714218,0.7666353343403661,2.2404435986065807
Krtcap2,1.4631040452332762,0.6824371634907113,2.4565307054732273
Lamp1,1.8403562894083314,0.7653780771744049,2.2473468819103912
Laptm4a,1.5737337305359493,0.7077676205157243,2.347561230105027
Ldha,0.6352927985520964,0.4496887572538362,3.460298755289785
Lgals1,0.4112729255845631,0.361817962701269,4.3760149862669495
Lgals9,1.8365452947820422,0.7645851971843609,2.2387549016675523
Limd2,1.8488564902257971,0.7671435973622776,2.2386685795597345
Lmo4,1.8928327328144106,0.7762134833582244,2.1941704524395265
Lsm2,1.9468965935860483,0.7872207016561396,2.155266696980142
Lsm4,1.7971306474687898,0.7563362029238007,2.245452828346535
Lsm6,1.8341286018659206,0.76408197629991,2.21373904116846
Lsm7,1.9033013847858906,0.7783570178039432,2.1753013361665436
Lsp1,1.778620589483632,0.7524310715292674,2.259824993056657
Lum,1.644447581641397,0.7234942449995596,2.3271501346218497
Ly6e,1.1727859499804683,0.6109904764038729,2.6068134802126512
Lyz2,1.761499880916576,0.7488009258857231,2.310240630964303
Maged1,1.9189738743397573,0.7815550879693356,2.156318818485012
Maged2,1.6337372304756366,0.7211343230542568,2.3149563517889913
Magoh,1.9278381041188846,0.7833581093617764,2.1697576550088025
Map1lc3b,1.7686420226414148,0.7503174267780658,2.265318556566532
Mapre1,1.8423806245212528,0.7657989076112482,2.2166266927273193
Marcksl1,1.5575696686794411,0.7041234436948378,2.394344567718259
Mcm6,1.893662243974307,0.7763835478357352,2.185240602912592
Mdh1,1.639730775983828,0.7224558925467153,2.3190809577319382
Mdh2,1.7623408672208427,0.7489796531696368,2.2606342192413025
Mdk,1.4167266481435195,0.671534137720568,2.4113698586719563
Meg3,1.703308872365296,0.7363287671267762,2.226965978392739
Mest,1.9439263754952965,0.7866199738969107,2.1552978937639313
Metap2,1.8676948486669536,0.7710419798592228,2.1981357984897945
Mfap2,1.5287054533067685,0.6975686767986488,2.365754378157554
Mfap4,1.8181652508600146,0.7607496132529904,2.210705273054052
Mgp,1.5120881373739974,0.6937669658519185,2.3175503407290643
Mif,0.6159120020028325,0.44277633095813995,3.412604774448818
Minos1,1.2403017747531708,0.6283313749569055,2.641716162346085
Mlf2,1.9203110277141313,0.7818273368648369,2.174334335375938
Mmp14,1.8791323002140632,0.7733992426977306,2.1982373772688284
Morf4l2,1.8315489604766837,0.7635444591832051,2.2112133124864823
Mrfap1,1.837991463644463,0.764886170354418,2.2217437293498383
